Total,CPU,3.720065,ms,CUDA,3.518816,ms
Post-Process,CPU,0.017633,ms,CUDA,0.017536,ms
Network,CPU,3.654846,ms,CUDA,3.493888,ms
Pre-Process,CPU,0.047586,ms,CUDA,0.007392,ms
Total,CPU,5.193116,ms,CUDA,0.008480,ms
Post-Process,CPU,0.018273,ms,CUDA,0.000000,ms
Network,CPU,5.126296,ms,CUDA,0.000000,ms
Pre-Process,CPU,0.048547,ms,CUDA,0.008480,ms
Total,CPU,3.679744,ms,CUDA,3.472480,ms
Post-Process,CPU,0.022401,ms,CUDA,0.022336,ms
Network,CPU,3.580410,ms,CUDA,3.442400,ms
Pre-Process,CPU,0.076933,ms,CUDA,0.007744,ms
Total,CPU,5.244896,ms,CUDA,5.146752,ms
Post-Process,CPU,0.019393,ms,CUDA,0.019456,ms
Network,CPU,5.144794,ms,CUDA,5.119104,ms
Pre-Process,CPU,0.080709,ms,CUDA,0.008192,ms
Total,CPU,3.768454,ms,CUDA,3.558688,ms
Post-Process,CPU,0.018369,ms,CUDA,0.018688,ms
Network,CPU,3.675104,ms,CUDA,3.532288,ms
Pre-Process,CPU,0.074981,ms,CUDA,0.007712,ms
Total,CPU,3.483252,ms,CUDA,3.290336,ms
Post-Process,CPU,0.019361,ms,CUDA,0.019744,ms
Network,CPU,3.416848,ms,CUDA,3.262144,ms
Pre-Process,CPU,0.047043,ms,CUDA,0.008448,ms
Total,CPU,4.969871,ms,CUDA,4.778880,ms
Post-Process,CPU,0.018177,ms,CUDA,0.018304,ms
Network,CPU,4.890122,ms,CUDA,4.752384,ms
Pre-Process,CPU,0.061572,ms,CUDA,0.008192,ms
Total,CPU,3.474485,ms,CUDA,3.275008,ms
Post-Process,CPU,0.019234,ms,CUDA,0.019424,ms
Network,CPU,3.381198,ms,CUDA,3.247104,ms
Pre-Process,CPU,0.074053,ms,CUDA,0.008480,ms
Total,CPU,5.233022,ms,CUDA,5.099008,ms
Post-Process,CPU,0.017729,ms,CUDA,0.017760,ms
Network,CPU,5.141625,ms,CUDA,5.072896,ms
Pre-Process,CPU,0.073668,ms,CUDA,0.008352,ms
Total,CPU,3.484884,ms,CUDA,3.292000,ms
Post-Process,CPU,0.019105,ms,CUDA,0.019072,ms
Network,CPU,3.417904,ms,CUDA,3.264512,ms
Pre-Process,CPU,0.047875,ms,CUDA,0.008416,ms
Total,CPU,5.355654,ms,CUDA,5.256544,ms
Post-Process,CPU,0.018657,ms,CUDA,0.018592,ms
Network,CPU,5.287394,ms,CUDA,5.229760,ms
Pre-Process,CPU,0.049603,ms,CUDA,0.008192,ms
Total,CPU,3.469460,ms,CUDA,3.274976,ms
Post-Process,CPU,0.019105,ms,CUDA,0.019456,ms
Network,CPU,3.376910,ms,CUDA,3.248128,ms
Pre-Process,CPU,0.073445,ms,CUDA,0.007392,ms
Total,CPU,5.953290,ms,CUDA,5.855552,ms
Post-Process,CPU,0.018177,ms,CUDA,0.018304,ms
Network,CPU,5.887750,ms,CUDA,5.829312,ms
Pre-Process,CPU,0.047363,ms,CUDA,0.007936,ms
Total,CPU,3.468500,ms,CUDA,3.278976,ms
Post-Process,CPU,0.018913,ms,CUDA,0.018944,ms
Network,CPU,3.368974,ms,CUDA,3.252224,ms
Pre-Process,CPU,0.080613,ms,CUDA,0.007808,ms
Total,CPU,4.297637,ms,CUDA,4.200256,ms
Post-Process,CPU,0.019201,ms,CUDA,0.019136,ms
Network,CPU,4.215552,ms,CUDA,4.172928,ms
Pre-Process,CPU,0.062884,ms,CUDA,0.008192,ms
Total,CPU,3.710978,ms,CUDA,3.520864,ms
Post-Process,CPU,0.019489,ms,CUDA,0.019584,ms
Network,CPU,3.642334,ms,CUDA,3.492864,ms
Pre-Process,CPU,0.049155,ms,CUDA,0.008416,ms
Total,CPU,5.039443,ms,CUDA,5.188288,ms
Post-Process,CPU,0.017729,ms,CUDA,0.001024,ms
Network,CPU,4.941453,ms,CUDA,5.179392,ms
Pre-Process,CPU,0.080261,ms,CUDA,0.007872,ms
Total,CPU,5.042484,ms,CUDA,5.232640,ms
Post-Process,CPU,0.018658,ms,CUDA,0.001024,ms
Network,CPU,4.974319,ms,CUDA,5.223424,ms
Pre-Process,CPU,0.049507,ms,CUDA,0.008192,ms
Total,CPU,4.065592,ms,CUDA,3.291904,ms
Post-Process,CPU,0.019330,ms,CUDA,0.019456,ms
Network,CPU,3.992211,ms,CUDA,3.264256,ms
Pre-Process,CPU,0.054051,ms,CUDA,0.008192,ms
Total,CPU,3.495190,ms,CUDA,3.289344,ms
Post-Process,CPU,0.017602,ms,CUDA,0.017664,ms
Network,CPU,3.425297,ms,CUDA,3.263488,ms
Pre-Process,CPU,0.052291,ms,CUDA,0.008192,ms
Total,CPU,4.567319,ms,CUDA,4.359264,ms
Post-Process,CPU,0.063652,ms,CUDA,0.063392,ms
Network,CPU,4.457200,ms,CUDA,4.288128,ms
Pre-Process,CPU,0.046467,ms,CUDA,0.007744,ms
Total,CPU,3.409328,ms,CUDA,3.243424,ms
Post-Process,CPU,0.017857,ms,CUDA,0.017792,ms
Network,CPU,3.350380,ms,CUDA,3.217952,ms
Pre-Process,CPU,0.041091,ms,CUDA,0.007680,ms
Total,CPU,3.457075,ms,CUDA,3.259744,ms
Post-Process,CPU,0.019233,ms,CUDA,0.019456,ms
Network,CPU,3.396111,ms,CUDA,3.231744,ms
Pre-Process,CPU,0.041731,ms,CUDA,0.008544,ms
Total,CPU,5.077110,ms,CUDA,0.007488,ms
Post-Process,CPU,0.018081,ms,CUDA,0.000000,ms
Network,CPU,5.013682,ms,CUDA,0.000000,ms
Pre-Process,CPU,0.045347,ms,CUDA,0.007488,ms
Total,CPU,3.487189,ms,CUDA,3.289792,ms
Post-Process,CPU,0.041187,ms,CUDA,0.041088,ms
Network,CPU,3.392271,ms,CUDA,3.240960,ms
Pre-Process,CPU,0.053731,ms,CUDA,0.007744,ms
Total,CPU,3.461747,ms,CUDA,3.270784,ms
Post-Process,CPU,0.019297,ms,CUDA,0.019296,ms
Network,CPU,3.339628,ms,CUDA,3.244032,ms
Pre-Process,CPU,0.102822,ms,CUDA,0.007456,ms
Total,CPU,4.384203,ms,CUDA,4.489728,ms
Post-Process,CPU,0.017921,ms,CUDA,0.001024,ms
Network,CPU,4.292837,ms,CUDA,4.480000,ms
Pre-Process,CPU,0.073445,ms,CUDA,0.008704,ms
Total,CPU,3.458195,ms,CUDA,3.387392,ms
Post-Process,CPU,0.020866,ms,CUDA,0.001024,ms
Network,CPU,3.388910,ms,CUDA,3.378016,ms
Pre-Process,CPU,0.048419,ms,CUDA,0.008352,ms
Total,CPU,4.329383,ms,CUDA,4.419584,ms
Post-Process,CPU,0.017185,ms,CUDA,0.001024,ms
Network,CPU,4.233954,ms,CUDA,4.410368,ms
Pre-Process,CPU,0.078244,ms,CUDA,0.008192,ms
Total,CPU,3.719202,ms,CUDA,3.524320,ms
Post-Process,CPU,0.018369,ms,CUDA,0.018464,ms
Network,CPU,3.653022,ms,CUDA,3.497632,ms
Pre-Process,CPU,0.047811,ms,CUDA,0.008224,ms
Total,CPU,4.636699,ms,CUDA,0.009216,ms
Post-Process,CPU,0.018177,ms,CUDA,0.001024,ms
Network,CPU,4.571575,ms,CUDA,0.000000,ms
Pre-Process,CPU,0.046947,ms,CUDA,0.008192,ms
Total,CPU,3.864171,ms,CUDA,3.499104,ms
Post-Process,CPU,0.020097,ms,CUDA,0.020288,ms
Network,CPU,3.787783,ms,CUDA,3.471360,ms
Pre-Process,CPU,0.056291,ms,CUDA,0.007456,ms
Total,CPU,5.091926,ms,CUDA,5.280896,ms
Post-Process,CPU,0.018017,ms,CUDA,0.001024,ms
Network,CPU,4.994416,ms,CUDA,5.271552,ms
Pre-Process,CPU,0.079493,ms,CUDA,0.008320,ms
Total,CPU,3.489748,ms,CUDA,3.283680,ms
Post-Process,CPU,0.019425,ms,CUDA,0.019712,ms
Network,CPU,3.396847,ms,CUDA,3.255552,ms
Pre-Process,CPU,0.073476,ms,CUDA,0.008416,ms
Total,CPU,4.664794,ms,CUDA,0.007552,ms
Post-Process,CPU,0.043586,ms,CUDA,0.000000,ms
Network,CPU,4.573910,ms,CUDA,0.000000,ms
Pre-Process,CPU,0.047299,ms,CUDA,0.007552,ms
Total,CPU,3.492405,ms,CUDA,3.292576,ms
Post-Process,CPU,0.018305,ms,CUDA,0.018368,ms
Network,CPU,3.426193,ms,CUDA,3.265920,ms
Pre-Process,CPU,0.047907,ms,CUDA,0.008288,ms
Total,CPU,5.271809,ms,CUDA,5.351040,ms
Post-Process,CPU,0.017697,ms,CUDA,0.001024,ms
Network,CPU,5.205725,ms,CUDA,5.342208,ms
Pre-Process,CPU,0.048387,ms,CUDA,0.007808,ms
Total,CPU,3.474419,ms,CUDA,3.283968,ms
Post-Process,CPU,0.018433,ms,CUDA,0.018368,ms
Network,CPU,3.408463,ms,CUDA,3.257408,ms
Pre-Process,CPU,0.047523,ms,CUDA,0.008192,ms
Total,CPU,4.436207,ms,CUDA,4.384352,ms
Post-Process,CPU,0.017601,ms,CUDA,0.001024,ms
Network,CPU,4.374923,ms,CUDA,4.374528,ms
Pre-Process,CPU,0.043683,ms,CUDA,0.008800,ms
Total,CPU,3.461107,ms,CUDA,3.293536,ms
Post-Process,CPU,0.038915,ms,CUDA,0.038496,ms
Network,CPU,3.380046,ms,CUDA,3.247264,ms
Pre-Process,CPU,0.042146,ms,CUDA,0.007776,ms
Total,CPU,4.949838,ms,CUDA,0.008416,ms
Post-Process,CPU,0.017793,ms,CUDA,0.000000,ms
Network,CPU,4.850696,ms,CUDA,0.000000,ms
Pre-Process,CPU,0.081349,ms,CUDA,0.008416,ms
Total,CPU,3.483540,ms,CUDA,3.274624,ms
Post-Process,CPU,0.017922,ms,CUDA,0.018144,ms
Network,CPU,3.391502,ms,CUDA,3.248288,ms
Pre-Process,CPU,0.074116,ms,CUDA,0.008192,ms
Total,CPU,4.846407,ms,CUDA,4.928063,ms
Post-Process,CPU,0.017505,ms,CUDA,0.001024,ms
Network,CPU,4.777923,ms,CUDA,4.919296,ms
Pre-Process,CPU,0.050979,ms,CUDA,0.007744,ms
Total,CPU,3.497749,ms,CUDA,3.292000,ms
Post-Process,CPU,0.044098,ms,CUDA,0.044160,ms
Network,CPU,3.403151,ms,CUDA,3.239328,ms
Pre-Process,CPU,0.050500,ms,CUDA,0.008512,ms
Total,CPU,3.542296,ms,CUDA,3.350752,ms
Post-Process,CPU,0.018082,ms,CUDA,0.018144,ms
Network,CPU,3.451890,ms,CUDA,3.325056,ms
Pre-Process,CPU,0.072324,ms,CUDA,0.007552,ms
Total,CPU,3.931567,ms,CUDA,3.279264,ms
Post-Process,CPU,0.020033,ms,CUDA,0.020192,ms
Network,CPU,3.826825,ms,CUDA,3.250880,ms
Pre-Process,CPU,0.084709,ms,CUDA,0.008192,ms
Total,CPU,3.486837,ms,CUDA,3.290144,ms
Post-Process,CPU,0.018817,ms,CUDA,0.018912,ms
Network,CPU,3.419921,ms,CUDA,3.262720,ms
Pre-Process,CPU,0.048099,ms,CUDA,0.008512,ms
Total,CPU,4.301671,ms,CUDA,3.282944,ms
Post-Process,CPU,0.020097,ms,CUDA,0.019520,ms
Network,CPU,4.206305,ms,CUDA,3.254944,ms
Pre-Process,CPU,0.075269,ms,CUDA,0.008480,ms
Total,CPU,3.475283,ms,CUDA,3.271840,ms
Post-Process,CPU,0.017633,ms,CUDA,0.017568,ms
Network,CPU,3.409968,ms,CUDA,3.246080,ms
Pre-Process,CPU,0.047682,ms,CUDA,0.008192,ms
Total,CPU,4.502898,ms,CUDA,4.310208,ms
Post-Process,CPU,0.020961,ms,CUDA,0.021088,ms
Network,CPU,4.430062,ms,CUDA,4.280416,ms
Pre-Process,CPU,0.051875,ms,CUDA,0.008704,ms
Total,CPU,3.461299,ms,CUDA,3.254560,ms
Post-Process,CPU,0.017793,ms,CUDA,0.017856,ms
Network,CPU,3.393935,ms,CUDA,3.229280,ms
Pre-Process,CPU,0.049571,ms,CUDA,0.007424,ms
Total,CPU,4.482545,ms,CUDA,4.226176,ms
Post-Process,CPU,0.018145,ms,CUDA,0.018336,ms
Network,CPU,4.413485,ms,CUDA,4.199648,ms
Pre-Process,CPU,0.050915,ms,CUDA,0.008192,ms
Total,CPU,3.476340,ms,CUDA,3.274144,ms
Post-Process,CPU,0.039522,ms,CUDA,0.039616,ms
Network,CPU,3.389871,ms,CUDA,3.226912,ms
Pre-Process,CPU,0.046947,ms,CUDA,0.007616,ms
Total,CPU,4.811237,ms,CUDA,0.007872,ms
Post-Process,CPU,0.018049,ms,CUDA,0.000000,ms
Network,CPU,4.743361,ms,CUDA,0.000000,ms
Pre-Process,CPU,0.049827,ms,CUDA,0.007872,ms
Total,CPU,3.473524,ms,CUDA,3.271968,ms
Post-Process,CPU,0.019426,ms,CUDA,0.019456,ms
Network,CPU,3.382638,ms,CUDA,3.244160,ms
Pre-Process,CPU,0.071460,ms,CUDA,0.008352,ms
Total,CPU,5.046004,ms,CUDA,4.929856,ms
Post-Process,CPU,0.019713,ms,CUDA,0.019136,ms
Network,CPU,4.944814,ms,CUDA,4.902144,ms
Pre-Process,CPU,0.081477,ms,CUDA,0.008576,ms
Total,CPU,3.495509,ms,CUDA,3.309408,ms
Post-Process,CPU,0.019745,ms,CUDA,0.039104,ms
Network,CPU,3.426385,ms,CUDA,3.262528,ms
Pre-Process,CPU,0.049379,ms,CUDA,0.007776,ms
Total,CPU,5.947051,ms,CUDA,5.848768,ms
Post-Process,CPU,0.019713,ms,CUDA,0.019712,ms
Network,CPU,5.874983,ms,CUDA,5.820832,ms
Pre-Process,CPU,0.052355,ms,CUDA,0.008224,ms
Total,CPU,3.473075,ms,CUDA,3.260512,ms
Post-Process,CPU,0.019585,ms,CUDA,0.019648,ms
Network,CPU,3.399631,ms,CUDA,3.233152,ms
Pre-Process,CPU,0.053859,ms,CUDA,0.007712,ms
Total,CPU,3.482227,ms,CUDA,3.282368,ms
Post-Process,CPU,0.018881,ms,CUDA,0.018880,ms
Network,CPU,3.390638,ms,CUDA,3.255296,ms
Pre-Process,CPU,0.072708,ms,CUDA,0.008192,ms
Total,CPU,4.675485,ms,CUDA,4.758528,ms
Post-Process,CPU,0.040226,ms,CUDA,0.001024,ms
Network,CPU,4.586104,ms,CUDA,4.749312,ms
Pre-Process,CPU,0.049155,ms,CUDA,0.008192,ms
Total,CPU,3.470164,ms,CUDA,3.275264,ms
Post-Process,CPU,0.018881,ms,CUDA,0.018848,ms
Network,CPU,3.402512,ms,CUDA,3.248512,ms
Pre-Process,CPU,0.048771,ms,CUDA,0.007904,ms
Total,CPU,4.366986,ms,CUDA,0.009376,ms
Post-Process,CPU,0.017857,ms,CUDA,0.001024,ms
Network,CPU,4.300486,ms,CUDA,0.000000,ms
Pre-Process,CPU,0.048643,ms,CUDA,0.008352,ms
Total,CPU,3.449746,ms,CUDA,3.264000,ms
Post-Process,CPU,0.018241,ms,CUDA,0.018464,ms
Network,CPU,3.379406,ms,CUDA,3.237344,ms
Pre-Process,CPU,0.052099,ms,CUDA,0.008192,ms
Total,CPU,3.441266,ms,CUDA,3.265568,ms
Post-Process,CPU,0.017185,ms,CUDA,0.016992,ms
Network,CPU,3.376494,ms,CUDA,3.240960,ms
Pre-Process,CPU,0.047587,ms,CUDA,0.007616,ms
Total,CPU,4.038805,ms,CUDA,3.287968,ms
Post-Process,CPU,0.021537,ms,CUDA,0.020832,ms
Network,CPU,3.964945,ms,CUDA,3.259424,ms
Pre-Process,CPU,0.052323,ms,CUDA,0.007712,ms
Total,CPU,3.477908,ms,CUDA,3.286112,ms
Post-Process,CPU,0.019553,ms,CUDA,0.020096,ms
Network,CPU,3.411312,ms,CUDA,3.256800,ms
Pre-Process,CPU,0.047043,ms,CUDA,0.009216,ms
Total,CPU,4.569911,ms,CUDA,4.271040,ms
Post-Process,CPU,0.020066,ms,CUDA,0.020416,ms
Network,CPU,4.498770,ms,CUDA,4.242432,ms
Pre-Process,CPU,0.051075,ms,CUDA,0.008192,ms
Total,CPU,3.480885,ms,CUDA,3.295424,ms
Post-Process,CPU,0.018337,ms,CUDA,0.018592,ms
Network,CPU,3.386287,ms,CUDA,3.269152,ms
Pre-Process,CPU,0.076261,ms,CUDA,0.007680,ms
Total,CPU,5.819266,ms,CUDA,5.703072,ms
Post-Process,CPU,0.018465,ms,CUDA,0.018848,ms
Network,CPU,5.752030,ms,CUDA,5.675616,ms
Pre-Process,CPU,0.048771,ms,CUDA,0.008608,ms
Total,CPU,3.457170,ms,CUDA,3.270528,ms
Post-Process,CPU,0.020673,ms,CUDA,0.020672,ms
Network,CPU,3.387118,ms,CUDA,3.241984,ms
Pre-Process,CPU,0.049379,ms,CUDA,0.007872,ms
Total,CPU,4.497233,ms,CUDA,4.273856,ms
Post-Process,CPU,0.018337,ms,CUDA,0.017920,ms
